Data,Cidade,Condicao_do_Tempo_Prevista,Temperatura_Tendencia,Temperatura_Minima,Temperatura_Maxima,Vento_Velocidade_Minima,Vento_Velocidade_Maxima,Vento_Direcao,Vento_Intensidade
04/10/2022,Abaetetuba - PA,Claro a nublado com pancadas de chuva isoladas a tarde,Estavel,24,34,50,95,SE - E,Fracos/Moderados
05/10/2022,Abaetetuba - PA,Claro a nublado com pancadas de chuva isoladas a tarde,Estavel,24,34,50,95,SE - E,Fracos/Moderados
06/10/2022,Abaetetuba - PA,Claro a nublado com pancadas de chuva isoladas a noite,Estavel,24,34,50,95,SE - E,Fracos/Moderados
07/10/2022,Abaetetuba - PA,Poucas nuvens a nublado com possibilidade de chuva em areas isoladas a noite,Estavel,24,34,50,95,SE - E,Fracos/Moderados
08/10/2022,Abaetetuba - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas a noite,Estavel,24,34,50,95,SE - E,Fracos/Moderados
09/10/2022,Abaetetuba - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,25,33,55,95,SE - E,Fracos/Moderados
10/10/2022,Abaetetuba - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,25,34,50,95,SE - NE,Fracos/Moderados
11/10/2022,Abaetetuba - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,25,35,60,100,E - NE,Fracos/Moderados
13/10/2022,Abaetetuba - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,25,34,60,100,E - NE,Fracos/Moderados
14/10/2022,Abaetetuba - PA,Claro a nublado com pancadas de chuva e trovoadas a tarde,Estavel,25,34,55,95,E - NE,Fracos/Moderados
15/10/2022,Abaetetuba - PA,Claro a nublado com pancadas de chuva e trovoadas a tarde,Estavel,25,33,55,100,E - NE,Fracos/Moderados
16/10/2022,Abaetetuba - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas a tarde,Estavel,25,33,60,100,E - NE,Fracos/Moderados
17/10/2022,Abaetetuba - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas a tarde,Estavel,25,33,60,100,E - NE,Fracos/Moderados
